Apiary,State,Lon,Lat
PA-3,PA,-75.6388,40.7299
PA-2,PA,-77.6242271,41.0976596
PA-1,PA,-77.6073352,40.8400989
NY-3,NY,-75.989224,42.6749744
NY-2,NY,-76.0579754,42.5499225
NY-1,NY,-76.1053948,42.4540728
